City,Latitude,Longitude,Temperature_Max
bethel,41.3712,-73.414,91.36
faanui,-16.4833,-151.75,77.61
yemelyanovo,56.1681,92.6767,58.28
yar-sale,66.8333,70.8333,45.68
sarandi,-23.4436,-51.8739,82.27
dalvik,65.9702,-18.5286,53.64
kaeo,-35.1,173.7833,47.32
narsaq,60.9167,-46.05,56.23
muirkirk,55.5227,-4.0655,62.87
kalach-na-donu,48.691,43.5264,65.71
zarinsk,53.7074,84.9493,57.67
alenquer,-1.9417,-54.7383,91.51
provideniya,64.3833,-173.3,40.8
sai buri,6.7013,101.6168,79.12
abatskoye,56.2875,70.4555,57.2
dikson,73.5069,80.5464,54.54
havelock,34.8791,-76.9013,86.05
ponta do sol,32.6667,-17.1,81.72
te anau,-45.4167,167.7167,31.8
nchelenge,-9.3451,28.734,74.08
ambovombe,-25.1667,46.0833,68.0
ribeira grande,38.5167,-28.7,73.99
mezen,65.8522,44.24,72.43
prince rupert,54.3161,-130.3201,57.56
beringovskiy,63.05,179.3167,49.86
wajima,37.4,136.9,74.39
progreso,21.2833,-89.6667,89.11
diamantino,-14.4086,-56.4461,93.2
verkhoyansk,67.5447,133.385,63.99
kavaratti,10.5669,72.642,81.18
arlit,18.7369,7.3853,106.11
cidreira,-30.1811,-50.2056,68.95
ngunguru,-35.6167,174.5,54.39
elliot,-31.3333,27.85,53.37
lovozero,68.005,35.0117,61.05
lodja,-3.4833,23.4333,89.01
mountain home,43.133,-115.6912,85.03
saint george,37.1041,-113.5841,93.79
shingu,33.7333,135.9833,73.94
mahebourg,-20.4081,57.7,71.26
shu,43.5983,73.7614,91.36
umba,66.6871,34.3429,67.82
pithiviers,48.1667,2.25,86.41
basco,20.4487,121.9702,85.95
tasiilaq,65.6145,-37.6368,40.77
pacific grove,36.6177,-121.9166,56.07
miri,4.4148,114.0089,78.24
brownwood,31.7093,-98.9912,89.96
awbari,26.5921,12.7805,94.64
stornoway,58.2093,-6.3865,60.93
cayenne,4.9333,-52.3333,86.09
merauke,-8.4667,140.3333,75.61
hamilton,39.1834,-84.5333,90.75
taclobo,12.3074,122.586,84.18
tonantins,-2.8731,-67.8022,77.74
bandarbeyla,9.4942,50.8122,77.9
antalaha,-14.9003,50.2788,68.11
burnie,-41.0667,145.9167,54.91
jalu,29.0331,21.5482,94.91
shimoda,34.6667,138.95,79.11
kloulklubed,7.0419,134.2556,83.3
samarai,-10.6167,150.6667,79.61
yazoo city,32.8551,-90.4056,86.7
yeniseysk,58.4497,92.1703,59.97
shirokiy,49.758,129.523,64.11
lagoa,39.05,-27.9833,72.52
bengkulu,-3.8004,102.2655,76.24
meulaboh,4.1363,96.1285,75.67
nkowakowa,-23.8878,30.2871,67.41
severo-kurilsk,50.6789,156.125,53.98
garwa,24.1833,83.8167,84.78
surt,31.2089,16.5887,82.02
gondar,12.6,37.4667,61.27
upernavik,72.7868,-56.1549,42.03
turukhansk,65.8167,87.9833,63.28
victoria,22.2855,114.1577,89.19
kodiak,57.79,-152.4072,49.1
flin flon,54.7682,-101.865,54.79
kupang,-10.1667,123.5833,72.95
purpe,64.4803,76.6897,52.2
great bend,38.3645,-98.7648,91.04
huarmey,-10.0681,-78.1522,65.1
nemuro,43.3236,145.575,60.03
road town,18.4167,-64.6167,81.81
pedro juan caballero,-22.5472,-55.7333,84.06
manggar,-2.8833,108.2667,80.62
cabo san lucas,22.8909,-109.9124,85.53
susanville,40.4163,-120.653,79.12
ussel,45.55,2.3167,81.57
lorengau,-2.0226,147.2712,81.79
eenhana,-17.4667,16.3333,76.98
bara,10.3744,10.7288,83.62
pocatello,42.8713,-112.4455,84.67
tilichiki,60.4667,166.1,50.61
mar del plata,-38.0023,-57.5575,52.95
beterou,9.1992,2.2586,82.36
westerly,41.3776,-71.8273,91.99
gudur,14.1333,79.85,86.45
adrar,20.5022,-10.0711,98.94
north platte,41.1239,-100.7654,86.11
gizo,-8.103,156.8419,81.73
monte aprazivel,-20.7725,-49.7142,86.49
hartselle,34.4434,-86.9353,89.15
port hardy,50.6996,-127.4199,56.95
xining,36.6167,101.7667,55.29
evensk,61.95,159.2333,53.26
komsomolskiy,40.4272,71.7189,92.26
nivala,63.9167,24.9667,66.69
rawlins,41.7911,-107.2387,76.35
san fernando,15.0286,120.6898,78.89
aguimes,27.9054,-15.4461,78.66
nicoya,10.1483,-85.452,75.15
lima,-12.0432,-77.0282,62.58
vila velha,-20.3297,-40.2925,78.94
bambous virieux,-20.3428,57.7575,71.22
mackenzie,55.2999,-123.1698,63.88
berbera,10.4396,45.0143,94.98
pangnirtung,66.1451,-65.7125,53.2
alexandria,31.2156,29.9553,81.36
suntar,62.1444,117.6319,60.85
eureka,40.8021,-124.1637,59.2
porto santo,33.072,-16.3415,69.42
boguchany,58.3814,97.4531,62.28
sand springs,36.1398,-96.1089,88.7
mogadishu,2.0371,45.3438,75.92
le port,-20.9373,55.2919,71.26
leningradskiy,69.3833,178.4167,32.02
vostok,46.4856,135.8833,57.47
nichinan,31.6,131.3667,72.77
teknaf,20.8624,92.3058,80.73
borba,-4.3878,-59.5939,94.55
polyarnyy,69.1989,33.4478,54.16
ambilobe,-13.2,49.05,72.73
foligno,42.944,12.7011,102.0
mitsamiouli,-11.3847,43.2844,75.67
oktyabrskiy,54.4815,53.471,67.77
plettenberg bay,-34.0527,23.3716,58.19
saldanha,-33.0117,17.9442,56.17
lalmohan,22.3384,90.7419,83.46
oranjemund,-28.55,16.4333,57.07
garowe,8.4054,48.4845,84.24
antofagasta,-23.65,-70.4,61.79
benemerito de las americas,16.5167,-90.6439,80.24
pandan,14.0453,124.1694,80.89
riyadh,24.6877,46.7219,106.63
gillette,44.2911,-105.5022,86.11
kijang,35.2442,129.2139,71.38
laguna,38.421,-121.4238,86.09
lasa,46.6166,10.7002,90.7
wasilla,61.5814,-149.4394,50.49
kimbe,-5.5502,150.1429,75.69
paterno,37.571,14.9027,91.18
uige,-7.6087,15.0613,87.19
ca mau,9.1769,105.15,76.87
morrope,-6.5417,-80.0111,71.58
maragogi,-9.0122,-35.2225,78.22
cortez,37.3489,-108.5859,87.69
baykit,61.67,96.37,59.9
sitka,57.0531,-135.33,55.35
divinopolis,-20.1389,-44.8839,81.9
kibala,9.1104,18.3463,77.11
arman,59.7,150.1667,59.81
mafeteng,-29.823,27.2374,52.0
trelew,-43.249,-65.3051,43.02
chengde,40.9725,117.9361,68.36
camabatela,-8.1881,15.375,83.35
mabaruma,8.2,-59.7833,86.34
buraydah,26.326,43.975,104.0
constitucion,-35.3333,-72.4167,58.86
roebourne,-20.7833,117.1333,71.6
kalaikunda,22.35,87.25,82.08
sauteurs,12.2167,-61.6333,80.96
tarakan,3.3,117.6333,81.79
egvekinot,66.3167,-179.1667,37.35
belomorsk,64.5232,34.7668,67.06
iqaluit,63.7506,-68.5145,45.7
nador,35.174,-2.9287,85.6
verkhnyaya inta,65.9811,60.3094,51.17
usinsk,65.9939,57.5281,55.54
minot,48.2325,-101.2963,74.8
nampula,-15.1165,39.2666,70.2
spas-demensk,54.4122,34.0226,68.83
ewo,-0.8725,14.8206,85.32
visby,57.6409,18.296,75.06
taoudenni,22.6783,-3.9836,110.05
thompson,55.7435,-97.8558,52.38
tadine,-21.55,167.8833,75.22
redmond,47.674,-122.1215,63.54
ban nahin,18.2418,104.2122,74.8
kieta,-6.2167,155.6333,77.23
dunedin,-45.8742,170.5036,43.81
alekseyevsk,57.8406,108.3492,61.48
banyo,6.75,11.8167,68.47
tambacounda,13.7539,-13.7586,76.28
sioux lookout,50.1001,-91.917,65.75
pervomayskoye,43.919,46.7102,73.08
namatanai,-3.6667,152.4333,79.07
banes,20.9625,-75.7186,86.68
muros,42.7762,-9.0603,80.17
menongue,-14.6585,17.691,77.7
rawson,-43.3002,-65.1023,42.85
yumen,40.2833,97.2,78.78
la ronge,55.1001,-105.2842,50.65
tigil,57.8,158.6667,49.28
vada,51.97,5.6667,73.11
wenchi,7.7392,-2.1046,77.65
mocuba,-16.8392,36.9856,70.14
paita,-5.0892,-81.1144,67.98
preobrazheniye,42.9019,133.9064,62.65
hastings,50.8552,0.5729,72.12
san andres,12.5847,-81.7006,81.84
yermekeyevo,54.0761,53.6712,68.92
kedrovka,55.5333,86.05,56.7
whitecourt,54.1502,-115.6855,62.74
nioro,13.35,-15.75,78.08
inverell,-29.7833,151.1167,53.73
kibaya,-5.3,36.5667,60.58
ulan-ude,51.8261,107.6098,59.61
aklavik,68.2191,-135.0107,65.82
ixtapa,20.7,-105.2,89.22
tucumcari,35.1717,-103.725,87.94
heihe,50.2441,127.4902,63.52
santa ana,33.7456,-117.8678,77.95
san policarpo,12.1791,125.5072,81.03
nyaunglebin,17.95,96.7333,75.47
tual,-5.6667,132.75,77.52
padang,-0.9492,100.3543,78.57
bathsheba,13.2167,-59.5167,84.06
conde,-7.2597,-34.9075,78.73
adre,13.4667,22.2,90.16
luau,-10.7073,22.2247,81.0
torrington,41.8007,-73.1212,90.75
yulara,-25.2406,130.9889,61.7
amapa,1.0,-52.0,90.57
isparta,38.0,31.0,75.51
sanghar,26.0466,68.9481,92.88
yangambi,0.8102,24.4336,72.5
vung tau,10.346,107.0843,80.83
half moon bay,37.4636,-122.4286,70.92
constantine,36.365,6.6147,95.02
boa vista,2.8197,-60.6733,84.7
seoul,37.5683,126.9778,74.07
wanning,18.8003,110.3967,80.49
namwala,-15.7504,26.4384,71.83
mataram,-8.5833,116.1167,76.21
wanxian,30.8039,108.3897,76.93
saltillo,25.4167,-101.0,81.28
mildura,-34.2,142.15,55.08
agnibilekrou,7.1344,-3.2047,81.73
nurota,40.5614,65.6886,96.24
sao filipe,14.8961,-24.4956,75.97
mackay,-21.15,149.2,59.76
marrakesh,31.6315,-8.0083,106.47
aksay,47.26,39.87,75.25
chara,56.9064,118.2631,66.79
jijiga,9.35,42.8,65.19
puerto maldonado,-12.6,-69.1833,92.03
san quintin,30.4833,-115.95,70.97
dingzhou,38.5131,114.9956,70.23
liuzhou,24.3126,109.3892,81.93
kiunga,-6.1219,141.2906,73.87
san ramon,37.7799,-121.978,72.48
colquiri,-17.4167,-67.1333,49.01
labrea,-7.2586,-64.7981,95.61
beloha,-25.1667,45.05,66.38
gundorovskiy,46.7805,41.8968,75.83
kamphaeng phet,16.25,99.5,75.18
mandalgovi,45.7625,106.2708,58.41
hovd,48.0056,91.6419,70.63
illapel,-31.6308,-71.1653,69.57
sheridan,44.8333,-106.9173,91.31
bonthe,7.5264,-12.505,80.56
baiyin,36.5583,104.2081,70.48
khandyga,62.6667,135.6,64.98
catende,-8.6667,-35.7167,76.53
huilong,31.8111,121.655,82.92
luderitz,-26.6481,15.1594,63.09
broome,42.2506,-75.833,87.19
bundi,25.4417,75.6417,80.29
vysotsk,60.6288,28.5705,74.64
bilma,18.6853,12.9164,103.68
pryozerne,45.2698,36.3303,78.49
redcliffe,-27.2307,153.0973,61.27
coihaique,-45.5752,-72.0662,28.87
murbad,19.25,73.4,78.42
berberati,4.2612,15.7922,68.76
bima,-8.4667,118.7167,71.13
ustrzyki dolne,49.4304,22.5938,93.99
nouakchott,18.0858,-15.9785,79.23
poya,-21.35,165.15,74.34
nadvoitsy,63.8667,34.3167,78.69
monthey,46.2555,6.9607,91.2
amersfoort,52.155,5.3875,72.93
kulhudhuffushi,6.6221,73.07,81.72
tabou,4.423,-7.3528,79.65
port-gentil,-0.7193,8.7815,75.22
kano,12.0001,8.5167,93.92
